Community,Community Address,Community,Build Year,Buiding_Type,Maintenance_Cost,Company,Developer,Total_Building,Total_House
丽泽梅傲苑,(浦东书院镇)石潭街136弄,5.01E+12,2011年建成,板楼,0.3至0.8元/平米/月,上海中企物业管理有限公司,临港经济发展有限公司,50栋,1017户
溢发公寓,(闵行莘庄)莘浜路35弄1-13号,5.01E+12,1994年建成,板楼,0.5元/平米/月,复欣物业,上海曹峰置业有限公司,13栋,130户
海燕大厦,(浦东惠南)东门大街197号,5.01E+12,1997年建成,平房,暂无信息,中海物业,上海中福地产置业有限公司,9栋,116户
良丰新村,(浦东惠南)惠东路243弄,5.01E+12,1999年建成,板楼,0.3元/平米/月,庆国物业,国庆开发有限公司,8栋,69户
惠东路300弄,(浦东惠南)惠东路300弄,5.01E+12,1996年建成,板楼,0.8元/平米/月,暂无信息,暂无信息,9栋,83户
绿地峰尚汇,(闵行浦江)浦星公路1919弄,5.01E+12,2010年建成,塔楼/板楼,5.5元/平米/月,彩生活物业管理公司,上海通盈置业有限公司,11栋,975户
万科早城(二期),(闵行浦江)北江榉路688弄,5.01E+12,2014年建成,板楼,5.68元/平米/月,暂无信息,万科,13栋,699户
卫星东路50弄,(浦东惠南)卫星东路50弄,5.01E+12,1978年建成,板楼,0.3元/平米/月,上海南汇惠房物业管理有限公司,暂无信息,4栋,88户
东方鸿璟,"(浦东祝桥)航亭环路399弄, 卫亭路999弄",5.01E+12,2016年建成,塔楼/板楼,3.3元/平米/月,上海绿城物业有限公司,上海航亭置业有限公司,82栋,896户
明天华城,(浦东周浦)周星路500弄1-23号，周星路500弄30-46号，康沈路2299弄,5.01E+12,2011年建成,板楼,1.75元/平米/月,颐景园物业,上海荣惠置业有限公司,64栋,2225户
东苑利华苑北区,(闵行莘庄)春申路3799弄65支弄,5.01E+12,2005年建成,板楼,1.1元/平米/月,上海东慧庄园物业管理有限公司,上海东苑房地产开发(集团)有限公司,7栋,218户
紫薇茗庭,(松江泗泾)王家厍路55弄,5.01E+12,2014年建成,塔楼/板楼,1.45元/平米/月,上海世江物业管理有限公司,上海韵意房地产开发有限公司,17栋,1992户
百鸟苑,(松江佘山)王家厍路775弄,5.01E+12,2012年建成,板楼,暂无信息,上海远洋物业,上海东湖房产,19栋,834户
大虹桥国际,(闵行莘庄)秀涟路111弄,5.01E+12,2012年建成,板楼/塔板结合,2.5至3.7元/平米/月,仲量联行,中建信控股集团上海置业有限公司,2栋,201户
万科公园大道,(闵行老闵行)富卓路789弄,5.01E+12,2014年建成,板楼,3.3至3.9元/平米/月,上海长宜物业管理有限公司,上海郡科投资管理有限公司,69栋,2091户
新弘墅园,(松江莘闵别墅)月台路555弄,5.01E+12,2006年建成,板楼,2.8元/平米/月,狮城怡安（上海）物业管理服务有限公司,上海弘明置业有限公司,631栋,721户
象屿上海年华,"(松江莘闵别墅)明华路1077弄, 陈春公路773号",5.01E+12,1999年建成,塔楼/板楼,2.8元/平米/月,上海复瑞物业管理有限公司,上海磐基房地产有限公司,69栋,1186户
滨浦新苑九村,(闵行浦江)江汉路751弄,5.01E+12,2014年建成,板楼,1.2元/平米/月,东湖物业,上海汉石普瑞置业有限公司,32栋,1050户
信达蓝爵,(松江松江大学城)淡家浜街99弄,5.01E+12,2013年建成,板楼,3.1元/平米/月,万科物业,上海信达银泰置业有限公司,32栋,1400户
谈中路158弄,(闵行浦江)谈中路158弄,5.01E+12,1996年建成,板楼,0.5元/平米/月,谈家港物业,上海海富置业有限公司,25栋,107户
