Community,Community Address,Community,Build Year,Buiding_Type,Maintenance_Cost,Company,Developer,Total_Building,Total_House
北蔡苑,(浦东北蔡)莲安西路185弄,5.01E+12,2000年建成,板楼,0.45元/平米/月,上海东莲物业管理有限公司,南浦开发有限公司,23栋,217户
金汇园,(黄浦蓬莱公园)天柱山路88弄,5.01E+12,1998年建成,板楼,1.4元/平米/月,蓬莱物业管理公司,上海新发展金汇房地产开发有限公司,8栋,108户
洪高小区,(浦东世博)洪山路180弄,5.01E+12,1989年建成,塔楼,0.8元/平米/月,上海振南物业有限公司,上南集团有限公司,3栋,377户
太浜巷小区,"(普陀光新)镇坪路81弄,岚皋路166弄,岚皋路200弄,中山北路赵家宅1-29号",5.01E+12,1985年建成,板楼,0.8元/平米/月,上海中山物业有限公司,上海中山市场发展有限公司,125栋,2701户
仁和花苑,"(浦东金杨)德平路730弄,张杨路2850弄,张杨路2798弄",5.01E+12,1994年建成,塔楼/板楼,0.6至0.7元/平米/月,上海仁和物业管理公司,上海仁和置业有限公司,22栋,607户
银河新都,"(闵行春申)绿莲路99弄,绿莲路100弄,老沪闵路2259弄",5.01E+12,2006年建成,板楼,1.45元/平米/月,景瑞物业,昆山市裕大房地产有限公司,71栋,2586户
中漕小区,"(徐汇徐家汇)中漕路22-28号,中漕路100弄",5.01E+12,1989年建成,板楼,0.8元/平米/月,上海恒联物业有限公司,上海东渡房地产开发有限责任公司,8栋,266户
康佳苑,(徐汇上海南站)石龙路885弄（原老沪闵路500弄）,5.01E+12,1999年建成,板楼,1.2元/平米/月,上海二医物业管理有限公司,上海第二医科大学,22栋,250户
紫薇新村,"(闵行华漕)北翟路5120弄,紫薇新村",5.01E+12,1994年建成,板楼,1元/平米/月,上海诸翟物业管理有限公司,上海五心房地产有限公司,98栋,1149户
龙南五村,(徐汇龙华)龙南五村,5.01E+12,1993年建成,板楼,0.8元/平米/月,上海溪文物业管理有限公司,上海华东房产设计院有限公司,120栋,1476户
德州一村,"(浦东世博)德州路223弄,上南路1500弄",5.01E+12,1984年建成,塔楼/板楼,0.8元/平米/月,上海德州物业,上海浦房集团,66栋,1946户
航天新苑,(徐汇漕河泾)虹梅路2015弄,5.01E+12,1998年建成,板楼,0.8元/平米/月,上海永和物业,上海永和房地产有限责任公司,48栋,554户
华亭公寓,(松江松江新城)文诚路2000弄,5.01E+12,2006年建成,板楼,1.5元/平米/月,上海悦华物业管理有限公司,上海广晟房地产开发有限公司,20栋,669户
杏花新苑,"(浦东花木)杜鹃路150弄, 龙东路150弄",5.01E+12,1994年建成,板楼,1元/平米/月,上海建工物业有限公司,上海东源房地产开发经营有限公司,12栋,192户
东方锦园,(杨浦五角场)政立路687弄,5.01E+12,2006年建成,板楼,0.8元/平米/月,上海东方物业有限公司,上海申华房地产开发有限公司,26栋,355户
上泰绅苑(别墅),(松江松江新城)上海市松江区弘翔路58弄,5.01E+12,2010年建成,板楼,3元/平米/月,上海捷艾尔物业管理有限公司,上海上泰绅苑置业有限公司,194栋,194户
保利林语溪(公寓),(浦东三林)秀沿西路68弄,5.01E+12,2011年建成,塔楼/板楼,2.2元/平米/月,保利物业,保利集团,21栋,1320户
芳草苑(浦东),(浦东北蔡)芳草路153弄,5.01E+12,1998年建成,板楼,0.65元/平米/月,上海花木物业,上海信尔房地产经营开发实业有限公司,14栋,164户
新中小区,"(长宁中山公园)西诸安浜路405弄, 西诸安浜路425弄",5.01E+12,1977年建成,板楼,0.3至0.6元/平米/月,长宁物业,长宁集团,23栋,479户
新泾四村,"(长宁北新泾)天山西路385弄, 天山西路351弄, 新渔路280弄, 新渔路150弄, 新渔路250弄, 新渔路300弄, 新渔路254号, 新渔路264号, 新渔路274号, 新渔路148号, 天山西路343号, 天山西路355号, 天山西路347号, 天山西路357号, 天山西路361号, 天山西路363号, 天山西路365号, 天山西路359号, 新渔路142号",5.01E+12,1986年建成,板楼,0.6至0.8元/平米/月,上海新长宁（集团）有限公司,上海新长宁集团房地产投资咨询有限公司,71栋,1479户
水岸秀苑,(嘉定江桥)鹤旋路500弄,5.01E+12,2005年建成,板楼,0.55至1.1元/平米/月,上海真如物业管理有限公司,上海西部大众地产置业有限公司,153栋,2031户
民星一村,"(杨浦中原)嫩江路839弄,嫩江路801弄,民星路370弄,嫩江路815弄,嫩江路831弄",5.01E+12,1986年建成,板楼,0.5元/平米/月,上海万泰物业管理有限公司,无开发商,45栋,1164户
芙蓉小区,(长宁仙霞)芙蓉江路103弄,5.01E+12,1984年建成,板楼,0.4元/平米/月,上海新长宁集团仙霞物业有限公司,无开发商,30栋,540户
建二公寓,(虹口临平路)天宝路902号,5.01E+12,1986年建成,塔楼,1.2元/平米/月,上海上房物业管理有限公司,上海建菱开发商,1栋,176户
泰鸿新苑,(杨浦控江路)延吉中路25弄,5.01E+12,2006年建成,板楼,1.55元/平米/月,上海浦发物业有限公司,上海泰鸿实业有限公司,7栋,250户
佘山假日半岛,(松江佘山)城隆路629弄,5.01E+12,1997年建成,塔楼/板楼,1.96元/平米/月,珠江康景,上海珠江逸展投资有限公司,11栋,1179户
名庭花苑,(松江松江新城)新松江路259弄,5.01E+12,2006年建成,板楼,1.35元/平米/月,上海名庭置业发展有限公司,上海名庭置业发展有限公司,18栋,744户
凉二小区,(虹口凉城)车站北路567弄,5.01E+12,1993年建成,塔楼,1.3元/平米/月,宏苑物业,上海中虹(集团)有限公司,5栋,836户
延新小区,(静安闸北公园)共和新路1725弄,5.01E+12,1980年建成,板楼,1元/平米/月,上海共贺物业管理有限公司,暂无信息,25栋,562户
宜川二村,(普陀甘泉宜川)宜川二村,5.01E+12,1954年建成,板楼,0.35至0.8元/平米/月,上海中山物业有限公司,普陀建筑,105栋,2974户
德盈佳园,"(浦东惠南)盐大路2585弄, 盐大路2537号, 盐大路2559号",5.01E+12,2008年建成,板楼,0.65至1.7元/平米/月,上海联讯物业管理有限公司,上海川沙界龙联合发展有限公司,98栋,1429户
安康新村,(浦东周浦)川周公路4005弄,5.01E+12,1994年建成,板楼,0.6元/平米/月,城乡物业,周康置业开发有限公司,77栋,782户
吉云公寓,(浦东联洋)罗山路1502弄1-14号,5.01E+12,1995年建成,板楼,0.36元/平米/月,花木物业,隆庆集团,14栋,318户
惠德新邨,(浦东北蔡)芳华路573弄,5.01E+12,1996年建成,板楼,0.45元/平米/月,惠德物业,锦和集团,35栋,692户
川北小区,(浦东川沙)川沙路4586弄1-29号（川沙路640弄）,5.01E+12,1984年建成,板楼,0.3元/平米/月,上海浦东新区新川物业公司,杨行西城区建设开发有限公司,27栋,591户
万兆家园(一期),"(闵行七宝)七莘路2465弄10支弄, 七莘路2855弄4-118号",5.01E+12,1994年建成,板楼,1.3元/平米/月,上海轩宇物业管理有限公司,上海万兆房地产发展有限公司,103栋,1195户
金天地花园,(金山山阳)卫清西路88弄,5.01E+12,2007年建成,板楼,1.29元/平米/月,上海勇博物业管理有限公司,上海百倍置业有限公司,38栋,1293户
罗南二村,"(宝山罗店)东太路80弄, 东太路86弄, 罗南二村, 南东路33号, 南东路47",5.01E+12,1994年建成,板楼,0.5元/平米/月,宝月物业,上海罗南房地产有限公司,218栋,2669户
玉兰四村,(嘉定安亭)阜康西路9弄,5.01E+12,1998年建成,板楼,0.85元/平米/月,上海新申汇物业管理有限公司,上海新申房产建设有限公司,69栋,877户
东湖花园,(闵行莘庄)疏影路1020弄,5.01E+12,1999年建成,板楼,0.65元/平米/月,东湖物业,上海梧柏房地产有限公司,30栋,358户
鞍山四村第一小区,"(杨浦鞍山)抚顺路373弄, 抚顺路393弄, 鞍山四村1-30号",5.01E+12,1953年建成,板楼,0.85元/平米/月,上海市卫百辛集团延吉物业管理有限公司,上海卫百辛房地产经纪有限公司,88栋,2698户
真光新秀,"(普陀真光)子洲路238弄,子洲路330弄",5.01E+12,1995年建成,板楼,0.8元/平米/月,上海真如物业有限公司,上海东上海联合置业有限公司,34栋,434户
三岛龙州苑,(金山石化)蒙山路1498弄,5.01E+12,2004年建成,板楼,0.75元/平米/月,暂无信息,暂无信息,67栋,1253户
阳城书院,(静安阳城)晋城路338弄,5.01E+12,2005年建成,板楼,1.6元/平米/月,大华物业,上海阳城房地产有限公司,14栋,404户
海普苑,(普陀真光)铜川路1897弄,5.01E+12,2002年建成,板楼,1.44元/平米/月,上海真如物业有限公司,上海市市政房地产经营公司,27栋,610户
宝地新品居,(长宁天山)双流路188弄1-6号,5.01E+12,2004年建成,板楼,2.4元/平米/月,华而萌泰物业管理（上海）有限公司,上海宝地长山房地产开发有限公司,5栋,180户
东方御花园,"(闵行古美)古美西路753弄,龙茗路513弄13支弄",5.01E+12,1996年建成,板楼,1元/平米/月,中海物业管理（深圳）有限公司,上海申能航空房地产有限公司,59栋,860户
潍坊十村,"(浦东潍坊)崂山东路645弄, 潍坊路154弄, 潍坊路140弄, 潍坊路126弄, 潍坊路120号, 潍坊路122号, 潍坊路128号, 潍坊路130号, 潍坊路132号, 潍坊路134号, 潍坊路136号, 潍坊路142号, 潍坊路144号, 潍坊路148号, 潍坊路150号, 潍坊路152号, 潍坊路156号, 潍坊路146号, 潍坊路138号, 潍坊路158号",5.01E+12,1983年建成,板楼,0.45至0.8元/平米/月,潍坊物业,上海建工房产有限公司,109栋,2402户
中科新苑,(徐汇斜土路)肇嘉浜路417弄,5.01E+12,1980年建成,板楼,0.8元/平米/月,徐房斜土物业,上海正业房地产开发有限公司,17栋,243户
赞成红树林,(金山张堰)卫零北路800弄,5.01E+12,2008年建成,板楼,0.8元/平米/月,上海赞成物业有限公司,上海莱茵达置业有限公司,183栋,1671户
龙柏香榭苑,(闵行龙柏)青杉路169弄,5.01E+12,2001年建成,板楼,1.7元/平米/月,上海复瑞物业管理有限公司,复地集团,40栋,952户
康虹佳园(别墅),(青浦徐泾)老沪青平公路185弄,5.01E+12,2004年建成,板楼,3.8元/平米/月,上海锦虹房地产经营有限公司,上海锦虹房地产经营有限公司,37栋,37户
科华公寓,(徐汇田林)钦州路500弄,5.01E+12,2002年建成,板楼,1.8至2.6元/平米/月,上海科瑞物业管理发展有限公司,上海科华置业发展有限公司,6栋,150户
华山丽苑,(长宁新华路)幸福路139弄,5.01E+12,2007年建成,板楼,16.26元/平米/月,第一太平戴维斯,德国高富诺投资公司,2栋,144户
凯旋一村,"(徐汇徐家汇)凯旋一村,塘子泾124-126号",5.01E+12,1978年建成,板楼,0.8至1元/平米/月,上海高建物业有限公司,江西宏凯置业有限公司,39栋,958户
品尊国际,(普陀真如)铜川路58弄,5.01E+12,2009年建成,塔楼/板楼,3.2元/平米/月,狮城怡安（上海）物业管理有限公司,上海明捷置业有限公司,21栋,2831户
乐活居,"(普陀长寿路)陕西北路1688弄, 澳门路508号, 上海市普陀区江宁路1389弄",5.01E+12,2010年建成,塔楼/板楼,5至5.65元/平米/月,上海联源物业发展有限公司,上海荣联房地产有限公司,5栋,1111户
盛逸公寓,(浦东塘桥)浦东南路2199弄,5.01E+12,2002年建成,板楼,1.35元/平米/月,上海由由物业管理有限公司,上海盛逸置业发展有限公司,6栋,156户
常澳馨苑,(普陀长寿路)常德路1309弄,5.01E+12,1983年建成,板楼,0.6元/平米/月,上海沃和物业管理有限公司,无,6栋,156户
寿祥坊,(徐汇康健)桂林西街111弄,5.01E+12,1993年建成,塔楼/板楼,0.43元/平米/月,上海轻工物业管理有限公司,上海申大物业有限公司,45栋,1393户
中祥哥德堡,(闵行莘庄)珠城路99弄11-33号,5.01E+12,2004年建成,板楼,1.6至2.18元/平米/月,上海祥茂物业管理有限公司,上海中祥（集团）有限公司,19栋,801户
证大宽域,"(浦东源深)张杨路1500弄, 张杨路1500弄29号",5.01E+12,2009年建成,板楼,5元/平米/月,上海证大物业管理有限公司,上海恒锦房地产发展有限公司,4栋,287户
上海滩花园洋房,"(浦东源深)乳山路506弄（南区）,乳山路505弄（北区）",5.01E+12,2005年建成,板楼,3.5元/平米/月,上海长宜物业管理有限公司,上海长甲置业有限公司,80栋,659户
新华路一号,(长宁新华路)新华路1号,5.01E+12,2010年建成,板楼,14元/平米/月,上海世邦魏理仕物业顾问公司,香港九龙仓,8栋,116户
天鸿公寓,"(闵行金虹桥)吴中路677弄99支弄, 吴中路14.4.1.11号",5.01E+12,2008年建成,板楼,1.7元/平米/月,上海东莲物业管理有限公司,上海天鸿房地产开发有限公司,12栋,462户
碧林湾(公寓),(闵行七宝)中谊路888弄,5.01E+12,2004年建成,板楼,1.25元/平米/月,上海万欢物业管理有限公司,上海万兆房地产发展有限公司,42栋,840户
宜川六村,(普陀甘泉宜川)宜川六村,5.01E+12,1957年建成,板楼,0.5元/平米/月,上海中山物业有限公司,普陀建筑,113栋,3032户
崂山新村,"(浦东陆家嘴)崂山新村, 崂山新村55号",5.01E+12,1954年建成,板楼,0.8元/平米/月,上海潍坊物业公司,商远开发集团,77栋,1507户
青厦小区,"(浦东川沙)妙境路162弄,妙境路124弄",5.01E+12,1993年建成,板楼,0.3元/平米/月,和记物业服务(上海)有限公司,海新徐房地产开发有限公司,65栋,854户
毕加索小镇(一期)(公寓),(浦东唐镇)春泉路45弄,5.01E+12,2010年建成,板楼,1.96至2.5元/平米/月,上海东郊皇庭物业管理有限公司,上海华飞投资集团股份有限公司,59栋,1187户
紫祥小区,"(静安不夜城)共和新路802弄,芷江西路220弄",5.01E+12,1979年建成,板楼,0.8元/平米/月,德欧物业,上海德尚房地产开发有限公司,30栋,573户
华景花苑,(闵行航华)航北路35弄1-23号,5.01E+12,1996年建成,板楼,0.8元/平米/月,华景物业,航东地产,22栋,264户
华夏小区,"(浦东三林)杨新路77弄, 杨新路93弄, 玉泉街77弄, 杨新路77弄89号, 杨新路89号, 玉泉街51号, 玉泉街53号, 玉泉街55号, 杨新路95号, 杨新路99号, 杨新路103号, 杨新路107号, 杨新路87号, 杨新路101号, 杨新路79号",5.01E+12,1994年建成,板楼,0.6元/平米/月,华夏物业公司,上钢开发公司,30栋,709户
牡丹苑(浦东),(浦东花木)牡丹路89弄,5.01E+12,1999年建成,板楼,0.8元/平米/月,上海花城物业管理发展有限公司,上南开发集团,24栋,282户
美树铭家,(宝山张庙)阳曲路1111弄,5.01E+12,2002年建成,板楼,1.5元/平米/月,上海佳源置业有限公司,上海城投置业管理有限公司,84栋,986户
梅川四街坊,(普陀长征)武宁路2525弄,5.01E+12,1993年建成,板楼,0.3元/平米/月,上房物业管理有限公司,暂无信息,86栋,1134户
东方明珠国际公寓,(浦东南码头)东方路1888弄,5.01E+12,2005年建成,板楼,1.7元/平米/月,上海东方明珠物业管理有限公司,上海东方明珠北区置业有限公司,3栋,296户
百兴花园,(杨浦东外滩)沈阳路41弄,5.01E+12,1997年建成,塔楼/板楼,1元/平米/月,上海市卫百幸物业公司,上海卫百辛（集团）有限公司,12栋,810户
海阳新村,"(浦东三林)海阳路598弄, 海阳路530弄, 灵岩南路380弄, 灵岩南路410弄, 长清路937弄, 长清路967弄, 长清路977弄",5.01E+12,1995年建成,板楼,0.4元/平米/月,上海三杨物业公司,上海市浦东新区建设（集团）有限公司,179栋,2086户
海东公寓,(浦东北蔡)莲园路100弄,5.01E+12,1996年建成,板楼,0.35元/平米/月,东缘物业有限公司,上海海东房地产有限公司,61栋,703户
富友嘉园,(嘉定江桥)临夏路999弄，临夏路1000弄,5.01E+12,2004年建成,板楼,0.7元/平米/月,上海欣茂物业管理有限公司,上海富友房产有限公司,228栋,2926户
天宝恬苑,(松江九亭)沪亭路71弄,5.01E+12,1977年建成,板楼,0.49元/平米/月,和记物业服务(上海)有限公司,上海天宝房地产开发经营有限公司,69栋,816户
宁泰馨苑,(静安大宁)宜川路778弄,5.01E+12,2003年建成,板楼,1.55元/平米/月,上海百联物业管理有限公司,上海环龙房地产开发经营公司,15栋,569户
万源城朗郡,(闵行古美)万源路986弄,5.01E+12,2009年建成,板楼,2.5元/平米/月,上海申大物业有限公司,上海万源房地产开发有限公司,32栋,1266户
古美七村,(闵行古美)平阳路50弄,5.01E+12,1995年建成,塔楼/板楼,0.8元/平米/月,科瑞物业,上海科瑞有限公司,43栋,1080户
莘城苑,(闵行莘庄)疏影路1111弄,5.01E+12,1997年建成,板楼,0.52元/平米/月,上海莘旺物业管理有限公司,上海联盟房地产有限公司,172栋,2102户
城投世纪名城,(宝山张庙)阳曲路1388弄,5.01E+12,2002年建成,板楼,1.2元/平米/月,上海民盈城投物业管理有限公司,上海城投置业管理有限公司,116栋,1346户
嘉丰新苑,(闵行航华)航东路255弄,5.01E+12,1999年建成,板楼,0.75元/平米/月,上海嘉丰物业管理有限公司,上海嘉丰西区置业有限公司,45栋,514户
美兰湖颐景园,"(宝山罗店)美艾路198弄, 美艾路2.11-24.27.29.47-64.72.74.79.81.87.88.114号",5.01E+12,2007年建成,板楼,1.26至1.36元/平米/月,上海三盛颐景园物业管理有限公司三盛管理处,上海铭瑞房地产有限公司,117栋,997户
建银曙光小区,(静安大宁)延长中路561弄,5.01E+12,1995年建成,塔楼/板楼,1.5至1.69元/平米/月,健将物业,上海健将房地产营销有限公司,21栋,550户
盛世宝邸(一期),(宝山淞南)淞塘路98弄,5.01E+12,2010年建成,板楼,2.2元/平米/月,宝邸物业,上海宝邸置业有限公司,30栋,1405户
牡丹新村,(闵行七宝)七莘路2999弄,5.01E+12,1993年建成,板楼,0.5元/平米/月,上海锦北物业管理有限公司,上海锦地实业公司,46栋,612户
汇龙花苑(徐汇),"(徐汇龙华)龙华路3166弄, 龙水北路991弄",5.01E+12,1996年建成,板楼,0.8元/平米/月,上海四和物业管理有限公司,上海红龙房地产开发经营有限公司,37栋,440户
中汇花园(南汇),"(浦东惠南)城南路48弄, 中汇花园",5.01E+12,1995年建成,板楼,0.6至5元/平米/月,泰燕物业公司,上海中汇投资发展总公司,46栋,303户
绿地领海(商业类),"(宝山上大)城银路555弄, 市台路388号, 市台路408号",5.01E+12,2009年建成,塔楼/板楼,1.8至3元/平米/月,绿地永绿物业管理有限公司,绿城集团,18栋,3899户
金浦大楼,(徐汇万体馆)漕溪路135号,5.01E+12,1997年建成,塔楼,2.2元/平米/月,舒宁物业,城房集团,1栋,108户
畅馨园,(闵行老闵行)凤庆路58弄,5.01E+12,2007年建成,板楼,1.3元/平米/月,上海晋同物业管理有限公司,上海啸宇房地产开发有限公司,48栋,862户
千鹤小区,"(徐汇田林)柳州路600弄2号, 柳州路600弄4号, 柳州路600弄8号, 柳州路600弄10号, 柳州路600弄12号",5.01E+12,1996年建成,塔楼/板楼,1.5元/平米/月,上海星远物业有限公司,上海集伟投资发展有限公司,5栋,528户
上海青年城,"(松江九亭)沪松公路1399弄, 沪松公路1519弄18号, 沪松公路1519弄19号, 沪松公路1519弄",5.01E+12,2005年建成,塔楼/板楼,3.9元/平米/月,上海申大物业有限公司,中新集团,22栋,2415户
凉城二村,(虹口凉城)凉城二村,5.01E+12,1987年建成,板楼,0.8元/平米/月,上海江湾物业管理有限公司,暂无信息,43栋,516户
城市经典(五期),(浦东张江)青桐路599弄,5.01E+12,2009年建成,塔楼/板楼,5.8至5.98元/平米/月,上海春川物业服务有限公司,鹏欣集团,87栋,87户
阳光美景城,"(闵行古美)平阳路59弄,古美路377弄,莲花路288弄",5.01E+12,2002年建成,板楼,1.6至1.8元/平米/月,工联物业,上海锦弘房地产发展有限公司,71栋,2057户
工农二村,"(杨浦中原)开鲁路320弄,包头路935弄",5.01E+12,1989年建成,板楼,0.5元/平米/月,上海江城实业总公司,中房上海房地产（集团）有限公司,68栋,1862户
名门世家(闵行),(闵行颛桥)老沪闵路2788弄,5.01E+12,2003年建成,板楼,2元/平米/月,上海申鑫物业管理有限公司,上海颛桥房地产有限公司,16栋,16户
市光一村,(杨浦中原)市光一村,5.01E+12,1987年建成,塔楼/板楼,0.8元/平米/月,上海恒联物业有限公司,上海市住宅开发中心第二分公司,115栋,3183户
罗山六村,"(浦东金杨)德平路100弄,博山东路20弄",5.01E+12,1989年建成,板楼,0.3元/平米/月,通昌物业,上海市浦东金桥建设有限责任公司,62栋,1330户
昌里众盛苑,"(浦东世博)杨高南路2772弄, 南码头路1521弄28-45号",5.01E+12,1998年建成,板楼,1.2元/平米/月,上海三凌物业管理公司,上海盛开建筑工程有限公司,29栋,346户
望春都市家园,(杨浦黄兴公园)延吉中路118弄,5.01E+12,1999年建成,板楼,1元/平米/月,延宇物业,上海春水房地产开发经营有限公司,23栋,474户
久耕小区,"(虹口北外滩)海宁路5号,海宁路55号,海宁路105号,峨眉路366弄,九龙路515号",5.01E+12,1984年建成,塔楼/板楼,1.1元/平米/月,上海复兴城物业管理有限公司,上海华虹房地产发展有限公司,24栋,1514户
绿地上河院,(浦东康桥)秀康路518号,5.01E+12,2010年建成,板楼,3.2元/平米/月,长城物业,绿城集团,132栋,132户
武宁路200弄,(普陀武宁)武宁路200弄,5.01E+12,1963年建成,塔楼/板楼,0.3至1.08元/平米/月,上海隆祥物业管理有限公司,西部集团,43栋,2064户
彰武大楼,(杨浦鞍山)彰武路72号,5.01E+12,1989年建成,塔楼,0.5元/平米/月,四平物业,彰武开发有限公司,1栋,285户
科兴公寓,(虹口凉城)奎照路789弄,5.01E+12,2001年建成,板楼,0.85元/平米/月,上海科房物业管理有限公司,上海金爵置业有限公司,6栋,60户
商业一村,"(虹口鲁迅公园)商业一村,广中路194弄",5.01E+12,1956年建成,板楼,1.1元/平米/月,上海广同物业有限公司,无开发商,50栋,1519户
中信和平家园,"(虹口临平路)天宝路558弄, 天宝路538号",5.01E+12,2010年建成,板楼,2.8至2.85元/平米/月,新加坡怡安物业管理有限公司,中信房地产股份有限公司,10栋,832户
鑫都城云天绿洲,(闵行颛桥)鑫都路2711弄,5.01E+12,2009年建成,板楼,1.2元/平米/月,上海天为物业管理服务有限公司,颛元置业有限公司,36栋,825户
佘山东紫园,(松江佘山)林叶路189弄,5.01E+12,2008年建成,板楼,8元/平米/月,广东康景物业服务有限公司上海分公司,上海龙嘉置业有限公司,91栋,93户
卢湾教师公寓,(黄浦打浦桥)斜土路766弄3号,5.01E+12,1997年建成,板楼,1.27元/平米/月,自主物业,高建集团,1栋,230户
洛东大楼,(静安闸北公园)洛川东路494弄,5.01E+12,1986年建成,塔楼/板楼,0.8元/平米/月,上海共贺物业管理有限公司,北方集团,3栋,321户
虹园一村,"(长宁北新泾)北渔路128弄,北渔路116弄,北渔路120弄",5.01E+12,1994年建成,板楼,0.5元/平米/月,申茂物业,上海新长宁（集团）有限公司,45栋,612户
圣安德鲁斯庄园,(青浦赵巷)业辉路555弄,5.01E+12,2009年建成,板楼,4.8元/平米/月,上海紫泰物业管理有限公司,卓越集团（上海德天置业有限公司）,158栋,158户
华轩大厦,(嘉定丰庄)曹安路1558号,5.01E+12,2005年建成,板楼,3元/平米/月,暂无信息,上海华轩房地产发展有限公司,1栋,322户
东方帕堤欧,"(宝山顾村)顾北路691号,顾北路689弄",5.01E+12,2009年建成,板楼,1.9至2.2元/平米/月,上海绿城物业有限公司,上海明豪置业发展有限公司,140栋,1170户
金杨公寓,(浦东金杨)银山路72弄,5.01E+12,1996年建成,塔楼,0.7元/平米/月,上海陆家嘴物业管理有限公司,上海陆家嘴金融贸易区开发股份有限公司,5栋,960户
华富小区,(徐汇万体馆)龙华西路315弄,5.01E+12,1994年建成,板楼,1.4元/平米/月,旭程物业管理有限公司,上海华富房地产经营有限公司,31栋,498户
富丽苑,(宝山罗店)富南路199弄,5.01E+12,2005年建成,板楼,0.3元/平米/月,上海宝顺物业管理有限公司,上杭沪太开发有限公司,61栋,672户
海运新村,(浦东塘桥)浦东南路2178弄,5.01E+12,1988年建成,塔楼/板楼,0.35元/平米/月,上海海运物业管理公司,保利地产,11栋,450户
东兰雅苑,(闵行古美)龙茗路1699弄,5.01E+12,2003年建成,板楼,1.5元/平米/月,上海上工业物业公司,上海中友房产开发有限公司,24栋,540户
越富豪庭,(浦东塘桥)峨山路681弄1-5号,5.01E+12,2006年建成,板楼,2元/平米/月,上海浦东房地产集团物业管理有限公司,上海航空房地产开发有限公司,5栋,140户
龙南七村,"(徐汇龙华)龙南七村1-81号,龙吴路510弄",5.01E+12,1993年建成,板楼,0.8元/平米/月,上海华东房产物业有限公司,华东地产开发有限公司,80栋,1196户
九方家园,"(闵行华漕)保乐路168弄,保乐路158号",5.01E+12,2003年建成,板楼,0.54元/平米/月,上海诚悦物业管理有限公司,上海金丰房地产实业公司,65栋,782户
凌霄苑,(浦东三林)南林路734弄,5.01E+12,1999年建成,板楼,1.5元/平米/月,上海浦东物业管理公司,浦东新区开发有限公司,36栋,460户
点睛苑,(浦东金杨)金杨路758弄,5.01E+12,1999年建成,板楼,1.1元/平米/月,上海欣城物业有限公司,上点房产开发公司,16栋,172户
金杨新村九街坊,"(浦东金杨)金杨路685弄,金杨路757弄,金杨路785弄,金杨路3680弄,金杨路3518号",5.01E+12,1993年建成,板楼,0.8元/平米/月,上海陆家嘴物业管理有限公司,上海陆家嘴房产开发有限公司,207栋,2865户
科普大楼,(黄浦新天地)合肥路381号,5.01E+12,1988年建成,板楼,0.5元/平米/月,上置物业,上海南上海动拆迁置业有限公司,1栋,156户
科兰公寓,(虹口凉城)广灵四路360弄,5.01E+12,1992年建成,板楼,0.8元/平米/月,凉城街道物业管理,凉城房地产开发商有限公司,14栋,278户
丹芳苑,(浦东张江)高斯路965弄,5.01E+12,2003年建成,板楼,1.35元/平米/月,上海仁联物业管理有限公司,上海浦东金三角房地产实业公司,10栋,120户
万科金色公馆,(浦东三林)济阳路333弄1号,5.01E+12,2010年建成,板楼,1.73至3元/平米/月,上海万科物业管理有限公司,上海恒大房产股份有限公司,11栋,132户
三佳苑,(闵行航华)航新路88弄330-376号（航华三村）,5.01E+12,1995年建成,板楼,0.75元/平米/月,上海三佳物业管理有限责任公司,上海三佳房地产经营公司,41栋,484户
三花现代城(一期丹桂苑),(宝山高境)云西路168弄,5.01E+12,2007年建成,板楼,1.48至1.98元/平米/月,上海凯仕顿物业管理有限公司,上海境逸房地产有限公司,28栋,1382户
平吉一村,(闵行古美)虹莘路2448弄,5.01E+12,1994年建成,板楼,0.5元/平米/月,上海途翔物业,上海华城房地产有限公司,151栋,1964户
局北村,(静安西藏北路)虬江路1150号,5.01E+12,1974年建成,板楼,0.5元/平米/月,上海锋玖物业有限公司,铁路局,13栋,322户
静安新邨,(静安南京西路)南京西路612弄,5.01E+12,1928年建成,板楼,0.1元/平米/月,上海静安置业集团张宅物业有限公司,合肥万科瑞翔地产有限公司,30栋,83户
合生御廷园(别墅),(青浦赵巷)巷居路99弄,5.01E+12,2010年建成,板楼,2.58元/平米/月,广东康景物业服务有限公司,上海正泽房地产有限公司,282栋,518户
公园天下,(闵行莘庄)西园路128弄,5.01E+12,2001年建成,板楼,1.5元/平米/月,上海莘纪苑物业管理有限公司,上海盛帆房地产开发有限公司,76栋,811户
上南六村,"(浦东世博)齐河路10弄,齐河路28弄,上南六村,齐河路44号,齐河路46号,齐河路48号",5.01E+12,1983年建成,板楼,0.35元/平米/月,上海振南物业公司,上南开发集团,141栋,2931户
金纺小区,(静安大宁)沪太路655弄,5.01E+12,1996年建成,塔楼/板楼,1元/平米/月,上海鹰征物业发展有限公司,上海金纺房地产开发有限公司,31栋,773户
天山怡景苑,(长宁天山)威宁路511弄,5.01E+12,2009年建成,板楼,2.1至2.6元/平米/月,上海新长宁集团仙霞物业管理有限公司,上海新长宁（集团）有限公司,36栋,1564户
香溢花城(住宅),(普陀光新)石泉东路168弄,5.01E+12,2002年建成,板楼,2.3至2.8元/平米/月,绿城物业,上海昊川置业有限公司,35栋,2203户
怡心苑,(浦东外高桥)花山路609弄,5.01E+12,2005年建成,板楼,1.2元/平米/月,建工物业,上海建工房产有限公司,62栋,989户
